,INPUT_POOL,OUTPUT_POOL,mouse_ID,FP_100_percent,FP_90_1,FP_90_4,FP_90_3,FP_90_5,FP_90_2,FP_50_1,FP_50_5,FP_50_4,FP_50_3,FP_50_2,FP_75_5,FP_75_1,FP_75_3,FP_75_4,FP_75_2
925,INPUT_LUNG_90_5.txt,OUTPUT_LN1_90_5.txt,3,0.414774667,0.386716446,0.386853913,0.386855659,0.386725171,0.386997909,0.350879953,0.350887787,0.35089562,0.350961152,0.350920548,0.372594691,0.372700261,0.372736139,0.372664482,0.372596804
926,INPUT_LUNG_90_5.txt,OUTPUT_LN2_90_5.txt,3,0.074713229,0.070230772,0.070229928,0.070239123,0.070212921,0.070263525,0.080070096,0.080071351,0.080084939,0.080100427,0.080078505,0.064451251,0.064470218,0.064481202,0.064442421,0.064449094
927,INPUT_LUNG_90_5.txt,OUTPUT_LUNG_90_5.txt,3,-495155,-446397.5,-446240,-446238,-446387.5,-446087,-248131,-248125.5,-248120,-248074,-248102.5,-371628.5,-371524,-371488.5,-371571.5,-371638.5
928,INPUT_LUNG_90_5.txt,OUTPUT_S_90_5.txt,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
929,INPUT_LUNG_90_5.txt,OUTPUT_SKIN1_90_5.txt,3,0.012759796,0.013037605,0.013042269,0.013042268,0.013037937,0.013046764,0.017666134,0.017666526,0.017666877,0.017670156,0.017668043,0.013690245,0.013694004,0.013695384,0.013692276,0.013689877
930,INPUT_LUNG_90_5.txt,OUTPUT_SKIN10_90_5.txt,3,0.014629043,0.014953119,0.014958399,0.014958466,0.014953454,0.014963533,0.032831185,0.032831914,0.032832642,0.032838739,0.032834961,0.015827816,0.015832271,0.015833785,0.015830246,0.01582739
931,INPUT_LUNG_90_5.txt,OUTPUT_SKIN11_90_5.txt,3,0.02948803,0.02641567,0.026422836,0.026422923,0.026412664,0.026432704,0.022390191,0.022390688,0.022391184,0.02239534,0.022392765,0.023168779,0.023175522,0.023177665,0.023172042,0.023168412
932,INPUT_LUNG_90_5.txt,OUTPUT_SKIN12_90_5.txt,3,0.051886405,0.050088469,0.050109604,0.05011455,0.050095452,0.05012617,0.042344296,0.042345236,0.042346025,0.042354347,0.042349625,0.046765736,0.046777833,0.046782401,0.046773373,0.046763872
933,INPUT_LUNG_90_5.txt,OUTPUT_SKIN2_90_5.txt,3,0.056358481,0.052985486,0.053009851,0.053006694,0.052990662,0.05302372,0.045967156,0.045967524,0.045969712,0.045979049,0.045972403,0.048534241,0.048547869,0.048554024,0.048541347,0.048532414
934,INPUT_LUNG_90_5.txt,OUTPUT_SKIN3_90_5.txt,3,0.020898874,0.019870906,0.019878962,0.019884513,0.019873305,0.019887501,0.017757165,0.017757559,0.017757953,0.017761248,0.017759206,0.020297117,0.020300844,0.020300614,0.020296214,0.020294676
935,INPUT_LUNG_90_5.txt,OUTPUT_SKIN4_90_5.txt,3,0.020575111,0.015744244,0.015750094,0.015748809,0.015741824,0.015752229,0.022374652,0.022377314,0.022377364,0.022381245,0.022378695,0.016844412,0.016847346,0.016849151,0.016845032,0.016839298
936,INPUT_LUNG_90_5.txt,OUTPUT_SKIN5_90_5.txt,3,0.033254906,0.028326681,0.028336125,0.028337972,0.028324842,0.028342078,0.032293825,0.032294542,0.032295259,0.032301257,0.032297541,0.028884218,0.028892353,0.028895117,0.028888654,0.028883439
937,INPUT_LUNG_90_5.txt,OUTPUT_SKIN6_90_5.txt,3,0.033551693,0.028424449,0.028437468,0.028438877,0.028427203,0.02844668,0.031695914,0.031696001,0.031696313,0.031702536,0.031698833,0.02887977,0.028887475,0.028890943,0.028884363,0.028877891
938,INPUT_LUNG_90_5.txt,OUTPUT_SKIN7_90_5.txt,3,0.058351257,0.054038371,0.054057491,0.054057724,0.054039478,0.054075961,0.054191349,0.054192563,0.054193761,0.054203839,0.054197598,0.05193004,0.05194466,0.051949652,0.051938094,0.051928464
939,INPUT_LUNG_90_5.txt,OUTPUT_SKIN8_90_5.txt,3,0.012796318,0.013474155,0.013476654,0.013460858,0.013459219,0.013468051,0.017974217,0.017954883,0.017952295,0.017976549,0.017975319,0.014444431,0.014430632,0.014446895,0.014445382,0.014442266
940,INPUT_LUNG_90_5.txt,OUTPUT_SKIN9_90_5.txt,3,0.019688926,0.018622713,0.01862929,0.018629374,0.01862313,0.018635685,0.016512278,0.016512644,0.016513011,0.016516075,0.016514176,0.015688286,0.015692702,0.015694202,0.015690694,0.015687864
941,INPUT_S_90_5.txt,OUTPUT_BM1_90_5.txt,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
942,INPUT_S_90_5.txt,OUTPUT_BM2_90_5.txt,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
943,INPUT_S_90_5.txt,OUTPUT_GUT_90_5.txt,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
944,INPUT_S_90_5.txt,OUTPUT_L_90_5.txt,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
945,INPUT_S_90_5.txt,OUTPUT_LN1_90_5.txt,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
946,INPUT_S_90_5.txt,OUTPUT_LN2_90_5.txt,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
947,INPUT_S_90_5.txt,OUTPUT_LUNG_90_5.txt,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
948,INPUT_S_90_5.txt,OUTPUT_S_90_5.txt,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
949,INPUT_S_90_5.txt,OUTPUT_SKIN1_90_5.txt,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
950,INPUT_S_90_5.txt,OUTPUT_SKIN10_90_5.txt,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
951,INPUT_S_90_5.txt,OUTPUT_SKIN11_90_5.txt,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
952,INPUT_S_90_5.txt,OUTPUT_SKIN12_90_5.txt,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
953,INPUT_S_90_5.txt,OUTPUT_SKIN2_90_5.txt,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
954,INPUT_S_90_5.txt,OUTPUT_SKIN3_90_5.txt,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
955,INPUT_S_90_5.txt,OUTPUT_SKIN4_90_5.txt,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
956,INPUT_S_90_5.txt,OUTPUT_SKIN5_90_5.txt,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
957,INPUT_S_90_5.txt,OUTPUT_SKIN6_90_5.txt,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
958,INPUT_S_90_5.txt,OUTPUT_SKIN7_90_5.txt,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
959,INPUT_S_90_5.txt,OUTPUT_SKIN8_90_5.txt,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
960,INPUT_S_90_5.txt,OUTPUT_SKIN9_90_5.txt,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
961,INPUT_SKIN1_90_5.txt,OUTPUT_BM1_90_5.txt,3,0.378582384,0.35002471,0.350226721,0.350426569,0.350412028,0.350043119,0.132341592,0.132353485,0.13237675,0.132440192,0.13248079,0.228277391,0.228457441,0.228560455,0.22851296,0.228395828
962,INPUT_SKIN1_90_5.txt,OUTPUT_BM2_90_5.txt,3,1.277650416,1.360884352,1.360199276,1.360533759,1.361282949,1.360973274,1.176606725,1.176282233,1.176614642,1.176496392,1.176072246,0.942613517,0.943222297,0.942608634,0.942700748,0.942669088
963,INPUT_SKIN1_90_5.txt,OUTPUT_GUT_90_5.txt,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
964,INPUT_SKIN1_90_5.txt,OUTPUT_L_90_5.txt,3,3.620468945,3.600380535,3.601704533,3.60024302,3.60117717,3.60100569,3.089708049,3.091546363,3.091350092,3.090915386,3.089745668,3.341668213,3.341569864,3.341249238,3.341695513,3.342022023
965,INPUT_SKIN1_90_5.txt,OUTPUT_LN1_90_5.txt,3,0.8941887,0.948815461,0.948812191,0.948815461,0.948813281,0.948809928,0.88734337,0.88734337,0.887345205,0.887345205,0.887348874,0.741298971,0.741303054,0.741299992,0.741301145,0.741298082
966,INPUT_SKIN1_90_5.txt,OUTPUT_LN2_90_5.txt,3,0.19670105,0.215813021,0.215603104,0.21563352,0.21575866,0.215633014,0.221063665,0.221063656,0.220926753,0.220926764,0.221059507,0.239884211,0.239888146,0.240044149,0.239813892,0.239877557
