,INPUT_POOL,OUTPUT_POOL,mouse_ID,FP_100_percent,FP_1,FP_5,FP_4,FP_3,FP_2
102,INPUT_LN2_90_5.txt,OUTPUT_BM2_90_5.txt,1,14.88298532,13.30924641,13.31317161,13.30880785,13.31018105,13.31097045
103,INPUT_LN2_90_5.txt,OUTPUT_GUT_90_5.txt,1,28.66583573,26.12988643,26.12798674,26.12891601,26.12848916,26.12763781
104,INPUT_LN2_90_5.txt,OUTPUT_L_90_5.txt,1,14.87233785,19.57711215,19.57425659,19.5764718,19.57596885,19.57538769
105,INPUT_LN2_90_5.txt,OUTPUT_LN1_90_5.txt,1,1.415952638,1.416748388,1.417729621,1.416880591,1.417059194,1.416957196
106,INPUT_LN2_90_5.txt,OUTPUT_LN2_90_5.txt,1,-463983.5,-232892,-232920.5,-232899,-232901.5,-232916
107,INPUT_LN2_90_5.txt,OUTPUT_LUNG_90_5.txt,1,1.345618878,1.573486585,1.572715069,1.573950714,1.572410407,1.573743567
108,INPUT_LN2_90_5.txt,OUTPUT_S_90_5.txt,1,20.88829659,NA,NA,NA,NA,NA
109,INPUT_LN2_90_5.txt,OUTPUT_SKIN1_90_5.txt,1,4.863548197,4.29040899,4.291146576,4.290500902,4.290475761,4.291024963
110,INPUT_LN2_90_5.txt,OUTPUT_SKIN10_90_5.txt,1,0.052206717,0.090997658,0.090986658,0.090994947,0.090993971,0.090988394
111,INPUT_LN2_90_5.txt,OUTPUT_SKIN11_90_5.txt,1,0.43800621,0.604510016,0.60446727,0.604484805,0.604208093,0.604490974
112,INPUT_LN2_90_5.txt,OUTPUT_SKIN12_90_5.txt,1,0.043804205,0.050843341,0.050837153,0.050841819,0.050841273,0.05083813
113,INPUT_LN2_90_5.txt,OUTPUT_SKIN2_90_5.txt,1,0.709620249,0.600412058,0.600345223,0.600400305,0.600391354,0.600358323
114,INPUT_LN2_90_5.txt,OUTPUT_SKIN3_90_5.txt,1,0.199470214,0.373497167,0.37344327,0.373492294,0.373497965,0.373458622
115,INPUT_LN2_90_5.txt,OUTPUT_SKIN4_90_5.txt,1,0.047456524,0.078310367,0.078297078,0.078304033,0.078307451,0.07829831
116,INPUT_LN2_90_5.txt,OUTPUT_SKIN5_90_5.txt,1,0.643396712,0.529378617,0.529321263,0.529360477,0.52936854,0.529329591
117,INPUT_LN2_90_5.txt,OUTPUT_SKIN6_90_5.txt,1,0.929606516,0.68319869,0.68320361,0.683261333,0.683177237,0.683133657
118,INPUT_LN2_90_5.txt,OUTPUT_SKIN7_90_5.txt,1,2.250031857,2.375139339,2.375018334,2.37512062,2.375074329,2.375039823
119,INPUT_LN2_90_5.txt,OUTPUT_SKIN8_90_5.txt,1,1.144182129,1.343605644,1.342954351,1.344286337,1.344261995,1.344507105
120,INPUT_LN2_90_5.txt,OUTPUT_SKIN9_90_5.txt,1,0.377527702,0.609593914,0.609558589,0.609581804,0.60957295,0.609553974
121,INPUT_LUNG_90_5.txt,OUTPUT_BM1_90_5.txt,1,6.547154715,8.601717581,8.605774004,8.60248775,8.606783452,8.60278792
122,INPUT_LUNG_90_5.txt,OUTPUT_BM2_90_5.txt,1,8.666601757,8.409322111,8.41187472,8.4090521,8.412707531,8.409349148
123,INPUT_LUNG_90_5.txt,OUTPUT_GUT_90_5.txt,1,10.72852703,9.770320195,9.77375,9.769893034,9.774240431,9.770391292
124,INPUT_LUNG_90_5.txt,OUTPUT_L_90_5.txt,1,8.754807543,7.98831683,7.991171616,7.988103015,7.99148898,7.989097323
125,INPUT_LUNG_90_5.txt,OUTPUT_LN1_90_5.txt,1,82.64598535,75.24815065,75.29071537,75.24468174,75.26491913,75.25987585
