,INPUT_POOL,OUTPUT_POOL,FP_5,mouse_ID,FP_1,FP_4,FP_3,FP_2,FP
1321,INPUT_LUNG_90_5.txt,OUTPUT_BM1_90_5.txt,5.291919711,5,5.291841243,5.292780547,5.289832388,5.284903981,5.661494215
1322,INPUT_LUNG_90_5.txt,OUTPUT_BM2_90_5.txt,3.235645195,5,3.23701921,3.234976942,3.233653073,3.23459463,3.378588442
1323,INPUT_LUNG_90_5.txt,OUTPUT_GUT_90_5.txt,NA,5,NA,NA,NA,NA,NA
1324,INPUT_LUNG_90_5.txt,OUTPUT_L_90_5.txt,5.552397271,5,5.554524998,5.552184052,5.552181266,5.551577368,5.962540116
1325,INPUT_LUNG_90_5.txt,OUTPUT_LN1_90_5.txt,9.659171146,5,9.654587697,9.650158908,9.660199293,9.653593081,9.712743559
1326,INPUT_LUNG_90_5.txt,OUTPUT_LN2_90_5.txt,0.095931778,5,0.095926781,0.09591272,0.095934733,0.095880016,0.097750971
1327,INPUT_LUNG_90_5.txt,OUTPUT_LUNG_90_5.txt,-432189.5,5,-432204,-432293.5,-432199.5,-432440.5,-480257
1328,INPUT_LUNG_90_5.txt,OUTPUT_S_90_5.txt,3.934401977,5,3.933200203,3.931883113,3.93427681,3.930962507,4.050216393
1329,INPUT_LUNG_90_5.txt,OUTPUT_SKIN1_90_5.txt,0.046905866,5,0.046904355,0.046890314,0.046902225,0.046875233,0.044088117
1330,INPUT_LUNG_90_5.txt,OUTPUT_SKIN10_90_5.txt,0.150760146,5,0.150763864,0.150765164,0.150813952,0.150723025,0.154448041
1331,INPUT_LUNG_90_5.txt,OUTPUT_SKIN11_90_5.txt,0.172343369,5,0.172345284,0.172288411,0.172295917,0.17221478,0.175381693
1332,INPUT_LUNG_90_5.txt,OUTPUT_SKIN12_90_5.txt,0.125427452,5,0.125434888,0.125386337,0.125423193,0.125353883,0.12254676
1333,INPUT_LUNG_90_5.txt,OUTPUT_SKIN2_90_5.txt,0.19262743,5,0.192719153,0.192599261,0.192778007,0.192625691,0.197463477
1334,INPUT_LUNG_90_5.txt,OUTPUT_SKIN3_90_5.txt,0.061162723,5,0.061166024,0.061146257,0.061161305,0.061133158,0.072304364
1335,INPUT_LUNG_90_5.txt,OUTPUT_SKIN4_90_5.txt,0.089386944,5,0.089396014,0.089378092,0.089381394,0.089331114,0.088475405
1336,INPUT_LUNG_90_5.txt,OUTPUT_SKIN5_90_5.txt,0.122130661,5,0.122126547,0.122101159,0.122127823,0.122059482,0.128867433
1337,INPUT_LUNG_90_5.txt,OUTPUT_SKIN6_90_5.txt,0.115639707,5,0.115608974,0.115600085,0.115635191,0.115547684,0.111620075
1338,INPUT_LUNG_90_5.txt,OUTPUT_SKIN7_90_5.txt,0.158075657,5,0.158084404,0.158050299,0.158079681,0.157978712,0.161556556
1339,INPUT_LUNG_90_5.txt,OUTPUT_SKIN8_90_5.txt,0.096792214,5,0.096787423,0.096774709,0.096789373,0.096742392,0.09175254
1340,INPUT_LUNG_90_5.txt,OUTPUT_SKIN9_90_5.txt,0.187531911,5,0.187522436,0.187448861,0.187547335,0.187473366,0.189583946
1341,INPUT_S_90_5.txt,OUTPUT_BM1_90_5.txt,5.654478565,5,5.655397079,5.656297453,5.652524571,5.651104722,5.062289258
1342,INPUT_S_90_5.txt,OUTPUT_BM2_90_5.txt,6.633790968,5,6.63781017,6.63534483,6.629961749,6.636465643,6.040165225
1343,INPUT_S_90_5.txt,OUTPUT_GUT_90_5.txt,NA,5,NA,NA,NA,NA,NA
1344,INPUT_S_90_5.txt,OUTPUT_L_90_5.txt,19.59384225,5,19.60649285,19.60327836,19.59382095,19.60672251,17.69913151
1345,INPUT_S_90_5.txt,OUTPUT_LN1_90_5.txt,361.1920758,5,361.1351514,361.0844437,361.2161318,361.1783863,360.8927616
1346,INPUT_S_90_5.txt,OUTPUT_LN2_90_5.txt,0.139089487,5,0.139137603,0.13915444,0.139021923,0.139108837,0.147836985
1347,INPUT_S_90_5.txt,OUTPUT_LUNG_90_5.txt,204.2078807,5,204.2383032,204.2975417,204.2203507,204.3939919,203.5496615
1348,INPUT_S_90_5.txt,OUTPUT_S_90_5.txt,-1044560.5,5,-1044403.5,-1044351,-1044546.5,-1044405.5,-1159885
1349,INPUT_S_90_5.txt,OUTPUT_SKIN1_90_5.txt,0.088331309,5,0.088346511,0.088340798,0.088327687,0.088339744,0.094536568
1350,INPUT_S_90_5.txt,OUTPUT_SKIN10_90_5.txt,1.089228424,5,1.089445133,1.08973873,1.089517055,1.089774559,1.048000097
1351,INPUT_S_90_5.txt,OUTPUT_SKIN11_90_5.txt,0.437341066,5,0.437423965,0.437398159,0.437242542,0.437339735,0.428627893
1352,INPUT_S_90_5.txt,OUTPUT_SKIN12_90_5.txt,0.29672025,5,0.296678807,0.296538912,0.296579474,0.296551156,0.370443795
1353,INPUT_S_90_5.txt,OUTPUT_SKIN2_90_5.txt,0.171537318,5,0.17169879,0.171616468,0.171667148,0.171655704,0.176086349
1354,INPUT_S_90_5.txt,OUTPUT_SKIN3_90_5.txt,0.064339386,5,0.064355246,0.0643505,0.064340232,0.064355842,0.066495654
1355,INPUT_S_90_5.txt,OUTPUT_SKIN4_90_5.txt,0.236418516,5,0.236496301,0.236508543,0.236410638,0.236441489,0.2379451
1356,INPUT_S_90_5.txt,OUTPUT_SKIN5_90_5.txt,0.294978377,5,0.29502144,0.295037776,0.294981346,0.295022005,0.287950056
1357,INPUT_S_90_5.txt,OUTPUT_SKIN6_90_5.txt,0.098681949,5,0.098676405,0.098692868,0.098685934,0.098675442,0.090352595
1358,INPUT_S_90_5.txt,OUTPUT_SKIN7_90_5.txt,0.025345682,5,0.025351929,0.025352952,0.025347465,0.025348604,0.023963968
1359,INPUT_S_90_5.txt,OUTPUT_SKIN8_90_5.txt,0.548379137,5,0.548436022,0.548520906,0.548375164,0.548501297,0.516957287
1360,INPUT_S_90_5.txt,OUTPUT_SKIN9_90_5.txt,0.101212958,5,0.101226303,0.101231112,0.101224522,0.101256715,0.123214174
1361,INPUT_SKIN1_90_5.txt,OUTPUT_BM1_90_5.txt,6.641658213,5,6.641567165,6.645963402,6.641546476,6.641693434,6.807265288
1362,INPUT_SKIN1_90_5.txt,OUTPUT_BM2_90_5.txt,2.867403591,5,2.868130176,2.867601485,2.866498619,2.867905644,2.736655144
1363,INPUT_SKIN1_90_5.txt,OUTPUT_GUT_90_5.txt,NA,5,NA,NA,NA,NA,NA
1364,INPUT_SKIN1_90_5.txt,OUTPUT_L_90_5.txt,5.844106628,5,5.844573672,5.844771078,5.844258304,5.844811433,5.829919233
1365,INPUT_SKIN1_90_5.txt,OUTPUT_LN1_90_5.txt,6.717830478,5,6.717815966,6.718259348,6.718000118,6.718013518,6.817127663
1366,INPUT_SKIN1_90_5.txt,OUTPUT_LN2_90_5.txt,1.940715581,5,1.941141443,1.941060711,1.940000602,1.940504321,1.832596207
1367,INPUT_SKIN1_90_5.txt,OUTPUT_LUNG_90_5.txt,7.321207051,5,7.321073452,7.321232153,7.321381247,7.320602201,7.420066402
1368,INPUT_SKIN1_90_5.txt,OUTPUT_S_90_5.txt,2.887902994,5,2.887338353,2.887352496,2.887925127,2.887466643,2.745893438
1369,INPUT_SKIN1_90_5.txt,OUTPUT_SKIN1_90_5.txt,-432565,5,-432570,-432545,-432553.5,-432554,-480440
1370,INPUT_SKIN1_90_5.txt,OUTPUT_SKIN10_90_5.txt,1.620916124,5,1.621057429,1.62144432,1.62133205,1.621548507,1.635426274
1371,INPUT_SKIN1_90_5.txt,OUTPUT_SKIN11_90_5.txt,0.772884712,5,0.772912389,0.772857048,0.772697735,0.772770361,0.784418537
1372,INPUT_SKIN1_90_5.txt,OUTPUT_SKIN12_90_5.txt,1.112327,5,1.111982704,1.111355927,1.111723795,1.111445371,1.05595337
1373,INPUT_SKIN1_90_5.txt,OUTPUT_SKIN2_90_5.txt,0.778254484,5,0.77895067,0.77847557,0.778933755,0.778730241,0.784383525
1374,INPUT_SKIN1_90_5.txt,OUTPUT_SKIN3_90_5.txt,0.213145792,5,0.213164284,0.21314953,0.213151457,0.213174522,0.239551627
1375,INPUT_SKIN1_90_5.txt,OUTPUT_SKIN4_90_5.txt,0.3415165,5,0.341573751,0.341602037,0.34150145,0.341502141,0.333726316
1376,INPUT_SKIN1_90_5.txt,OUTPUT_SKIN5_90_5.txt,0.505841542,5,0.505835564,0.505864931,0.505854995,0.505854289,0.499358679
1377,INPUT_SKIN1_90_5.txt,OUTPUT_SKIN6_90_5.txt,0.350023937,5,0.349931495,0.350003877,0.350018577,0.349958667,0.32705645
1378,INPUT_SKIN1_90_5.txt,OUTPUT_SKIN7_90_5.txt,0.266763211,5,0.266786047,0.266798665,0.266775901,0.266751303,0.248209239
