True_FP,Est_FP,Total_parasites,Barcode_number,Bottleneck_prob
9.055270541,9.447321106,49999980,30,0.0000001
8.92882348,4.269251954,49999980,30,0.0000001
3.979688136,2.903411024,49999980,30,0.0000001
4.022605805,4.45635737,49999980,30,0.0000001
7.134873591,6.442020855,49999980,30,0.0000001
2.985254225,3.22058041,49999980,30,0.0000001
2.97985305,3.217164305,49999980,30,0.0000001
6.03882157,7.242586947,49999980,30,0.0000001
6.088058858,7.247918961,49999980,30,0.0000001
5.028155247,5.794998743,49999980,30,0.0000001
3.05253832,3.221575894,49999980,30,0.0000001
7.191855681,8.82414234,49999980,30,0.0000001
1.950359757,2.071178499,49999980,30,0.0000001
8.201977389,7.814034449,49999980,30,0.0000001
9.072189412,12.41474063,49999980,30,0.0000001
1.014415961,1,49999980,30,0.0000001
4.017685304,4.45665412,49999980,30,0.0000001
7.98782956,10.5271868,49999980,30,0.0000001
6.98341159,6.368070978,49999980,30,0.0000001
8.070499617,5.238776655,49999980,30,0.0000001
2.014797485,2.06901193,49999980,30,0.0000001
4.071878788,4.459902362,49999980,30,0.0000001
1.981517437,2.071425695,49999980,30,0.0000001
6.970787945,6.269089742,49999980,30,0.0000001
1.95832774,2.070236468,49999980,30,0.0000001
6.111368284,7.246524477,49999980,30,0.0000001
4.02456964,4.455566457,49999980,30,0.0000001
5.958530551,7.240326826,49999980,30,0.0000001
3.992705498,4.45811724,49999980,30,0.0000001
2.006784623,2.067575641,49999980,30,0.0000001
5.95449057,7.241611288,49999980,30,0.0000001
4.961037611,3.894739422,49999980,30,0.0000001
2.057184515,2.07126538,49999980,30,0.0000001
8.091134916,7.719298833,49999980,30,0.0000001
5.977167823,7.243850896,49999980,30,0.0000001
4.938471366,5.796036882,49999980,30,0.0000001
0.988103428,1,49999980,30,0.0000001
4.102537996,4.459839084,49999980,30,0.0000001
4.992547173,5.79030288,49999980,30,0.0000001
3.082158,1.859181078,49999980,30,0.0000001
4.96861829,5.795945214,49999980,30,0.0000001
4.927049395,5.795540654,49999980,30,0.0000001
1.935755163,2.071264828,49999980,30,0.0000001
4.95104292,5.797981727,49999980,30,0.0000001
5.109153769,2.940454735,49999980,30,0.0000001
4.091557731,4.460529424,49999980,30,0.0000001
5.954566013,7.243205846,49999980,30,0.0000001
8.035539994,7.925490203,49999980,30,0.0000001
8.058649434,10.53039598,49999980,30,0.0000001
5.096322283,5.797756006,49999980,30,0.0000001
2.984339577,3.221293535,49999980,30,0.0000001
2.965951857,3.216438649,49999980,30,0.0000001
1.01330997,1,49999980,30,0.0000001
5.955462923,7.240252197,49999980,30,0.0000001
2.048161558,2.071405742,49999980,30,0.0000001
8.016081249,7.881784319,49999980,30,0.0000001
0.995115583,1,49999980,30,0.0000001
6.876599682,8.818091104,49999980,30,0.0000001
6.061936865,5.014474612,49999980,30,0.0000001
4.05652973,4.455108865,49999980,30,0.0000001
8.004423238,6.163044486,49999980,30,0.0000001
3.009305942,3.21978761,49999980,30,0.0000001
5.038970994,4.00972714,49999980,30,0.0000001
2.007891262,2.068134785,49999980,30,0.0000001
4.989050464,5.794268259,49999980,30,0.0000001
3.031770116,3.219876778,49999980,30,0.0000001
3.945243054,4.459872024,49999980,30,0.0000001
4.966515226,5.792098532,49999980,30,0.0000001
2.941689558,3.220266229,49999980,30,0.0000001
7.017237847,6.320111318,49999980,30,0.0000001
6.038726415,7.247594048,49999980,30,0.0000001
3.050397221,3.22178196,49999980,30,0.0000001
7.045942959,4.980049624,49999980,30,0.0000001
6.051060275,7.24318858,49999980,30,0.0000001
10.00527929,7.539597971,49999980,30,0.0000001
3.013068456,3.219616949,49999980,30,0.0000001
1.952295534,2.071326658,49999980,30,0.0000001
5.92704504,3.987014381,49999980,30,0.0000001
4.968899719,5.798218704,49999980,30,0.0000001
5.993259353,5.126491896,49999980,30,0.0000001
6.910878742,8.812819274,49999980,30,0.0000001
11.07672341,12.98884105,49999980,30,0.0000001
1.981837945,2.068797875,49999980,30,0.0000001
4.967906183,5.790707078,49999980,30,0.0000001
7.967486657,7.910051416,49999980,30,0.0000001
5.034876437,5.797493317,49999980,30,0.0000001
6.988882056,6.494450196,49999980,30,0.0000001
6.05067211,5.106589879,49999980,30,0.0000001
6.92671778,6.43628184,49999980,30,0.0000001
5.054835824,5.791302135,49999980,30,0.0000001
5.885884542,7.245868002,49999980,30,0.0000001
