True_FP,Est_FP,Total_parasites,Barcode_number,Bottleneck_prob
6,6.882352941,50000000,40,0.0000001
5,3.823529412,50000000,40,0.0000001
2,2.052631579,50000000,40,0.0000001
4,4.333333333,50000000,40,0.0000001
5,3.823529412,50000000,40,0.0000001
5,5.571428571,50000000,40,0.0000001
2,2.052631579,50000000,40,0.0000001
6,4.943661972,50000000,40,0.0000001
2,2.052631579,50000000,40,0.0000001
1,1,50000000,40,0.0000001
7,4.887468031,50000000,40,0.0000001
7,8.272727273,50000000,40,0.0000001
11,14.79310345,50000000,40,0.0000001
2,2.052631579,50000000,40,0.0000001
7,8.272727273,50000000,40,0.0000001
5,5.571428571,50000000,40,0.0000001
8,9.75,50000000,40,0.0000001
10,10.26315789,50000000,40,0.0000001
3,3.162162162,50000000,40,0.0000001
7,8.272727273,50000000,40,0.0000001
5,5.571428571,50000000,40,0.0000001
2,2.052631579,50000000,40,0.0000001
4,4.333333333,50000000,40,0.0000001
3,3.162162162,50000000,40,0.0000001
5,5.571428571,50000000,40,0.0000001
5,5.571428571,50000000,40,0.0000001
5,5.571428571,50000000,40,0.0000001
3,3.162162162,50000000,40,0.0000001
8,7.428571429,50000000,40,0.0000001
2,2.052631579,50000000,40,0.0000001
10,13,50000000,40,0.0000001
1,1,50000000,40,0.0000001
0,,50000000,40,0.0000001
10,13,50000000,40,0.0000001
3,3.162162162,50000000,40,0.0000001
4,4.333333333,50000000,40,0.0000001
6,4.943661972,50000000,40,0.0000001
7,8.272727273,50000000,40,0.0000001
6,6.882352941,50000000,40,0.0000001
5,5.571428571,50000000,40,0.0000001
7,8.272727273,50000000,40,0.0000001
8,9.75,50000000,40,0.0000001
7,6.144694534,50000000,40,0.0000001
2,2.052631579,50000000,40,0.0000001
2,2.052631579,50000000,40,0.0000001
5,5.571428571,50000000,40,0.0000001
3,3.127659574,50000000,50,0.0000001
8,9.333333333,50000000,50,0.0000001
4,4.260869565,50000000,50,0.0000001
4,4.260869565,50000000,50,0.0000001
1,1,50000000,50,0.0000001
7,4.79241517,50000000,50,0.0000001
5,5.444444444,50000000,50,0.0000001
4,4.260869565,50000000,50,0.0000001
4,2.76056338,50000000,50,0.0000001
6,6.681818182,50000000,50,0.0000001
5,5.444444444,50000000,50,0.0000001
6,6.681818182,50000000,50,0.0000001
2,2.041666667,50000000,50,0.0000001
4,4.260869565,50000000,50,0.0000001
0,,50000000,50,0.0000001
6,6.681818182,50000000,50,0.0000001
5,5.444444444,50000000,50,0.0000001
5,3.769230769,50000000,50,0.0000001
6,6.681818182,50000000,50,0.0000001
4,4.260869565,50000000,50,0.0000001
9,8.462686567,50000000,50,0.0000001
3,3.127659574,50000000,50,0.0000001
3,3.127659574,50000000,50,0.0000001
9,8.462686567,50000000,50,0.0000001
4,4.260869565,50000000,50,0.0000001
5,5.444444444,50000000,50,0.0000001
5,5.444444444,50000000,50,0.0000001
4,4.260869565,50000000,50,0.0000001
8,7.19266055,50000000,50,0.0000001
3,3.127659574,50000000,50,0.0000001
1,1,50000000,50,0.0000001
2,2.041666667,50000000,50,0.0000001
7,7.976744186,50000000,50,0.0000001
7,7.976744186,50000000,50,0.0000001
9,10.75609756,50000000,50,0.0000001
6,3.127659574,50000000,50,0.0000001
3,3.127659574,50000000,50,0.0000001
4,4.260869565,50000000,50,0.0000001
2,2.041666667,50000000,50,0.0000001
8,7.19266055,50000000,50,0.0000001
4,4.260869565,50000000,50,0.0000001
8,7.19266055,50000000,50,0.0000001
4,4.260869565,50000000,50,0.0000001
4,4.260869565,50000000,50,0.0000001
4,4.260869565,50000000,50,0.0000001
6,6.681818182,50000000,50,0.0000001
6,6.681818182,50000000,50,0.0000001
6,6.681818182,50000000,50,0.0000001
6,6.681818182,50000000,50,0.0000001
3,3.127659574,50000000,50,0.0000001
2,2.041666667,50000000,50,0.0000001
6,6.681818182,50000000,50,0.0000001
2,2.041666667,50000000,50,0.0000001
2,2.041666667,50000000,50,0.0000001
10,9.8,50000000,50,0.0000001
5,5.444444444,50000000,50,0.0000001
6,6.681818182,50000000,50,0.0000001
8,9.333333333,50000000,50,0.0000001
6,6.681818182,50000000,50,0.0000001
4,4.260869565,50000000,50,0.0000001
1,1,50000000,50,0.0000001
7,5.987531172,50000000,50,0.0000001
4,4.260869565,50000000,50,0.0000001
5,5.444444444,50000000,50,0.0000001
5,5.444444444,50000000,50,0.0000001
3,3.127659574,50000000,50,0.0000001
2,2.041666667,50000000,50,0.0000001
6,4.846153846,50000000,50,0.0000001
6,4.846153846,50000000,50,0.0000001
1,1,50000000,50,0.0000001
6,6.681818182,50000000,50,0.0000001
4,4.260869565,50000000,50,0.0000001
8,7.19266055,50000000,50,0.0000001
2,2.041666667,50000000,50,0.0000001
9,6.975395431,50000000,50,0.0000001
6,6.681818182,50000000,50,0.0000001
6,6.681818182,50000000,50,0.0000001
2,2.041666667,50000000,50,0.0000001
5,5.444444444,50000000,50,0.0000001
7,7.976744186,50000000,50,0.0000001
3,3.127659574,50000000,50,0.0000001
4,4.260869565,50000000,50,0.0000001
7,7.976744186,50000000,50,0.0000001
2,2.041666667,50000000,50,0.0000001
5,5.444444444,50000000,50,0.0000001
5,5.444444444,50000000,50,0.0000001
3,3.127659574,50000000,50,0.0000001
9,10.75609756,50000000,50,0.0000001
7,7.976744186,50000000,50,0.0000001
7,7.976744186,50000000,50,0.0000001
6,6.681818182,50000000,50,0.0000001
1,1,50000000,50,0.0000001
10,12.25,50000000,50,0.0000001
5,3.769230769,50000000,50,0.0000001
3,3.127659574,50000000,50,0.0000001
7,7.976744186,50000000,50,0.0000001
8,9.333333333,50000000,50,0.0000001
4,2.76056338,50000000,50,0.0000001
6,6.681818182,50000000,50,0.0000001
4,4.260869565,50000000,50,0.0000001
4,4.181818182,49999950,70,0.0000001
7,7.666666667,49999950,70,0.0000001
5,3.709677419,49999950,70,0.0000001
8,8.903225806,49999950,70,0.0000001
3,3.089552239,49999950,70,0.0000001
6,6.46875,49999950,70,0.0000001
9,10.18032787,49999950,70,0.0000001
4,4.181818182,49999950,70,0.0000001
5,5.307692308,49999950,70,0.0000001
4,4.181818182,49999950,70,0.0000001
4,4.181818182,49999950,70,0.0000001
7,7.666666667,49999950,70,0.0000001
6,6.46875,49999950,70,0.0000001
4,4.181818182,49999950,70,0.0000001
3,3.089552239,49999950,70,0.0000001
10,11.5,49999950,70,0.0000001
7,7.666666667,49999950,70,0.0000001
2,2.029411765,49999950,70,0.0000001
3,3.089552239,49999950,70,0.0000001
5,3.709677419,49999950,70,0.0000001
5,5.307692308,49999950,70,0.0000001
1,1,49999950,70,0.0000001
5,5.307692308,49999950,70,0.0000001
4,4.181818182,49999950,70,0.0000001
1,1,49999950,70,0.0000001
4,4.181818182,49999950,70,0.0000001
3,3.089552239,49999950,70,0.0000001
4,4.181818182,49999950,70,0.0000001
11,10.58174905,49999950,70,0.0000001
3,3.089552239,49999950,70,0.0000001
7,7.666666667,49999950,70,0.0000001
4,4.181818182,49999950,70,0.0000001
6,6.46875,49999950,70,0.0000001
8,6.943396226,49999950,70,0.0000001
2,2.029411765,49999950,70,0.0000001
3,3.089552239,49999950,70,0.0000001
6,4.740458015,49999950,70,0.0000001
6,4.740458015,49999950,70,0.0000001
3,3.089552239,49999950,70,0.0000001
1,1,49999950,70,0.0000001
5,5.307692308,49999950,70,0.0000001
6,6.46875,49999950,70,0.0000001
8,6.943396226,49999950,70,0.0000001
6,6.46875,49999950,70,0.0000001
7,7.666666667,49999950,70,0.0000001
1,1,49999950,70,0.0000001
4,4.181818182,49999950,70,0.0000001
4,4.181818182,49999950,70,0.0000001
5,5.307692308,49999950,70,0.0000001
2,2.029411765,49999950,70,0.0000001
